"","code","label","subcategory","feedback","criticality","organization","question","row_index","Sentiment"
"76","sa","Staff","Attitude Of Staff","Some of you are great, helpful, kind & nice but a few take sides with others & block you out and call you and just show that they don't like you.  Everyone should be treated the same.",-4,"Trust A","Trust A - Q1",81,0.009
"77","ee","Environment/ facilities","Environment/ facilities","Less noise with doors banging. 
Not too bright lights when being woken up in a morning. 
More activities needed for full week.",-3,"Trust A","Trust A - Q1",82,-0.341
"78","ef","Environment/ facilities","Food","Its hard with food as everyone is different.",-2,"Trust A","Trust A - Q1",83,-0.103
"79","xn","Couldn't be improved","Nothing to improve","I don't think you could do anything better.",3,"Trust A","Trust A - Q1",84,0.44
"80","xn","Couldn't be improved","Nothing to improve","I am completely satisfied.",3,"Trust A","Trust A - Q1",85,0.475
"81","sa","Staff","Attitude Of Staff","Very rude psychologist doctor",-3,"Trust A","Trust A - Q1",87,-0.509
"82","xn","Couldn't be improved","Nothing to improve","zero",3,"Trust A","Trust A - Q1",88,0
"83","xn","Couldn't be improved","Nothing to improve","Difficult to think of anything!",3,"Trust A","Trust A - Q1",89,-0.42
"84","cc","Care received","Care received","More in tune to patients needs.",-3,"Trust A","Trust A - Q1",90,0
"85","xn","Couldn't be improved","Nothing to improve","Very little.",3,"Trust A","Trust A - Q1",91,0
"86","xn","Couldn't be improved","Nothing to improve","Nothing",3,"Trust A","Trust A - Q1",92,0
"87","cm","Care received","Medication","Giving me my <?> machine and my Precalin<?>. Pity the Dr's attitude towards patients is not as that of the nurses",-4,"Trust A","Trust A - Q1",93,0.143
"88","xn","Couldn't be improved","Nothing to improve","Not sure, nothing I could think of",3,"Trust A","Trust A - Q1",94,-0.241
"89","xn","Couldn't be improved","Nothing to improve","All of it",3,"Trust A","Trust A - Q1",95,0
"90","ss","Staff","Staff: General","Get the psychiatrist from Nottingham",-3,"Trust A","Trust A - Q1",96,0
"91","sa","Staff","Attitude Of Staff","Psychiatrist doesn't care about helping me get through this time in my life, doesn't understand me and communication is poor",-4,"Trust A","Trust A - Q1",97,-0.766
"92","mi","Communication","Amount/clarity of information","Communicate properly on how long the waiting list is to start MBT.
Regular 1-2-1's when waiting for MBT, note very 3 months.
Manage volatile situations in group session better. 
Get more of a gender balance in group sessions.",-3,"Trust A","Trust A - Q1",99,0.44
"93","xn","Couldn't be improved","Nothing to improve","Couldn't do better.",3,"Trust A","Trust A - Q1",102,-0.341
"94","xn","Couldn't be improved","Nothing to improve","Can't think of anything.",3,"Trust A","Trust A - Q1",103,0
"95","sp","Staff","Professionalism/Competence Of Staff","Sack staff who do not work while on duty. 
Disciplinary action, verbal warning of staff nurse XXXX & removal of HCW XXX",-4,"Trust A","Trust A - Q1",104,-0.34
"96","cp","Care received","Physical care","Cut sweets etc down as ny son is now going down the road of being obese. It's another worry",-3,"Trust A","Trust A - Q1",105,-0.202
"97","xn","Couldn't be improved","Nothing to improve","Just continue what you're doing!!",3,"Trust A","Trust A - Q1",106,0
"98","sp","Staff","Professionalism/Competence Of Staff","Staff not bothered about patients, more concerned on ipads etc.  
Disturbed constantly during the night. 
High risk of bacteria into air con unit & room taps mixing hot with cold.  
Fire door propped open with chair. 
Masks not effective & not worn correctly.
No social distancing.",-4,"Trust A","Trust A - Q1",108,-0.601
"99","ef","Environment/ facilities","Food","Make all emergency call buttons operation.",-3,"Trust A","Trust A - Q1",109,-0.382
"100","aa","Access","General","Weekly or 2 weekly meetings.",-3,"Trust A","Trust A - Q1",110,0
"101","wa","Access","Time spent waiting for first appt/referral/service","Shorter waiting times for treatment, took nearly 4 weeks to get this letter.  
Coronavirus guidance could have been clearer. 
Not much parking available a the relevant area.",-3,"Trust A","Trust A - Q1",111,0
"102","cr","Care received","Rules/approach to care","Prem & Neonate babies that are in I.C.U who need IV access could have stents placed with ultra-sound so that med's can be administrated as soon as possible, because I see the problem trying to inject ???? veins with emergency meds.",-3,"Trust A","Trust A - Q1",112,-0.74
"103","xn","Couldn't be improved","Nothing to improve","Nothing, I'm happy with my service than you very much.",3,"Trust A","Trust A - Q1",113,-0.458
"104","cm","Care received","Medication","Sadly there is a strong reliance on medication and some medication can interfere quite strongly with your daily life i.e. due to the side effects like blurred vision. 
Also, bare in mind that sometimes home/CPN visits can be quite inconvenient when you have young children.  Please keep that in mind and keep them to a minimum without a necessity.",-3,"Trust A","Trust A - Q1",114,0.718
"105","cr","Care received","Rules/approach to care","I know it is because of corona virus but it is horrible having to wait outside of the building until you are called in.  I know it is only a few minutes but this morning I was really cold.",-3,"Trust A","Trust A - Q1",116,-0.696
"106","ap","Access","Provision of services","Time for appointment and seeing people <?unreadable 2 words>",-1,"Trust A","Trust A - Q1",117,0
"107","ss","Staff","Staff: General","Every other nurse needs to be like Charlotte.",-9,"Trust A","Trust A - Q1",118,0.361
"108","xn","Couldn't be improved","Nothing to improve","Do not think there is anything else you could have done in very difficult circumstances.",3,"Trust A","Trust A - Q1",119,-0.42
"109","mm","Communication","Communication","Language barrier & bad communication.",-3,"Trust A","Trust A - Q1",121,-0.612
"110","cc","Care received","Care received","Tighten security, as 3 1/2 years ago I got assaulted on the assessment ward.",-4,"Trust A","Trust A - Q1",122,-0.25
"111","sa","Staff","Attitude Of Staff","Staff to be more engaged with service users.",-3,"Trust A","Trust A - Q1",123,0.458
"112","mm","Communication","Communication","Not talk about patients past with other staff and our history and not to breach our confidentiality by passing on information to other third parties.",-4,"Trust A","Trust A - Q1",124,0.402
"113","cc","Care received","Care received","More activities eg. quizzes.
Educational courses eg. cooking. 
More staff interaction with patients. 
Medication.
Change consultants, doesn't listen.",-3,"Trust A","Trust A - Q1",125,0
"114","xl","Miscellaneous","Leave (under MHA)","Offer more group community leave, like days outs.",-9,"Trust A","Trust A - Q1",129,0.258
"115","ca","Care received","Activities","More to do.",-2,"Trust A","Trust A - Q1",130,0
"116","cc","Care received","Care received","Healthcare (co-codamol).",-2,"Trust A","Trust A - Q1",133,0
"117","cc","Care received","Care received","Concentrate more on the needs of the patients and listen more.",-3,"Trust A","Trust A - Q1",134,0
"118","ee","Environment/ facilities","Environment/ facilities","More access to internet.",-2,"Trust A","Trust A - Q1",135,0
"119","mi","Communication","Amount/clarity of information","Explaining better so I can understand.",-3,"Trust A","Trust A - Q1",136,0.44
"120","ca","Care received","Activities","More internet time.",-2,"Trust A","Trust A - Q1",137,0
"121","ap","Access","Provision of services","Not many appts, wanted more time",-2,"Trust A","Trust A - Q1",138,0
"122","xn","Couldn't be improved","Nothing to improve","Don't know",3,"Trust A","Trust A - Q1",139,0
"123","ap","Access","Provision of services","More time & appts",-2,"Trust A","Trust A - Q1",140,0
"124","wa","Access","Time spent waiting for first appt/referral/service","Timescales - sometimes takes awhile to get seen - more so for general health",-3,"Trust A","Trust A - Q1",141,0
"125","xn","Couldn't be improved","Nothing to improve","I don't know.",3,"Trust A","Trust A - Q1",142,0
"126","mi","Communication","Amount/clarity of information","Communication regarding appointments.  I rang to confirm an appointment time, Thurs AM and was told it was Fri PM.  When no one turned up Fri I rang again and was told it was actually Thurs PM and that I had missed it.  This made my anxiety increase.",-4,"Trust A","Trust A - Q1",144,-0.421
"127","mi","Communication","Amount/clarity of information","Being told about the ward rules from the start.",-3,"Trust A","Trust A - Q1",145,0
"128","mi","Communication","Amount/clarity of information","Over time everything have been good but sometimes I feel that information about issues such and COVID-19 take a little while to get to the patients.",-3,"Trust A","Trust A - Q1",146,0.238
"129","xn","Couldn't be improved","Nothing to improve","All was good.",3,"Trust A","Trust A - Q1",148,0.44
"130","eq","Environment/ facilities","Facilities/equipment","Your building could do with redecorating and new carpets!",-1,"Trust A","Trust A - Q1",149,0
"131","mm","Communication","Communication","A little bit more communication",-2,"Trust A","Trust A - Q1",150,0
"132","sp","Staff","Professionalism/Competence Of Staff","I still feel I was treated appallingly by a different team member at my first appointment which (comments finish here)",-4,"Trust A","Trust A - Q1",151,-0.459
"133","xn","Couldn't be improved","Nothing to improve","None.",3,"Trust A","Trust A - Q1",152,0
"134","ef","Environment/ facilities","Food","The food needs improving drastically.",-3,"Trust A","Trust A - Q1",153,0.421
"135","ap","Access","Provision of services","More education session per week, to reduce staying time.",-3,"Trust A","Trust A - Q1",154,0
"136","cc","Care received","Care received","Not lock people up who are not ill.",-4,"Trust A","Trust A - Q1",155,0.325
"137","xn","Couldn't be improved","Nothing to improve","Not much.",3,"Trust A","Trust A - Q1",156,0
"138","cc","Care received","Care received","I'm not being treated fairly and being ...(cannot make out the rest of the comments)
The other girls get leave early ....(cannot make out the rest of the comments)",-3,"Trust A","Trust A - Q1",157,-0.052
"139","xn","Couldn't be improved","Nothing to improve","Cannot think of anything being better.  Would definitely recommend.",3,"Trust A","Trust A - Q1",158,0.796
"140","sa","Staff","Attitude Of Staff","Do not judge people (like myself) for how they look (looks can be deceiving, like the says `Do not judge a book by its cover !!!) but judge them by how they feel (especially me). As a Christian lady and my faith keeps me going and the person I am, honest, gentle, caring and loving, but I am very slow for my age.",-3,"Trust A","Trust A - Q1",159,0.975
"141","xn","Couldn't be improved","Nothing to improve","No improvements needed.",3,"Trust A","Trust A - Q1",160,-0.241
"142","xn","Couldn't be improved","Nothing to improve","Nothing it was very good.",3,"Trust A","Trust A - Q1",161,0.493
"143","xn","Couldn't be improved","Nothing to improve","Nothing for me.",3,"Trust A","Trust A - Q1",162,0
"144","mm","Communication","Communication","Email exercises to patient.",-1,"Trust A","Trust A - Q1",163,0
"145","sa","Staff","Attitude Of Staff","A few members of staff could do with more training on compassion, bedside manners and a bit more knowledge on how to handle different types of scenarios.",-3,"Trust A","Trust A - Q1",164,0.505
"146","ti","Transition/coordination","Coordination/Integration Of Care","Make LMHTs more aware of the existence of the Specialist Depression Service. It took me 6-7 months to get the Manor Road team to refer me into the service, despite the SDS being ready to take me on as soon as they'd received the referral, because the psychiatrists I saw during that time had never heard of it and couldn't be bothered to find out more.",-4,"Trust A","Trust A - Q1",165,-0.061
"147","ap","Access","Provision of services","No treatment was offered. My 17 year old son was told that as he was turning 18 soon there was no point in offering him any treatment after a suicide attempt. He would have to wait until he was 18 and then get in touch with the adult service. This led to an 8 week wait with no help whatsoever. Appalling!",-4,"Trust A","Trust A - Q1",166,-0.918
"148","cm","Care received","Medication","Stronger tablets to help work. I feel the tablets I have in a morning don’t act quick enough, very slow. It’s lunch time before I benefit.",-3,"Trust A","Trust A - Q1",167,0.807
"149","eq","Environment/ facilities","Facilities/equipment","Wifi.",-1,"Trust A","Trust A - Q1",168,0
"150","xn","Couldn't be improved","Nothing to improve","Absolutely nothing, please make sure they get the praise that they deserve.",3,"Trust A","Trust A - Q1",169,0.12
"151","cc","Care received","Care received","It's tough cos of covid atm - just keep caring.",-1,"Trust A","Trust A - Q1",170,0.402
"152","xn","Couldn't be improved","Nothing to improve","They are amazing.",3,"Trust A","Trust A - Q1",171,0.586
"153","xf","Miscellaneous","Funding","With more funding - more 1:1.",-3,"Trust A","Trust A - Q1",172,0
"154","xn","Couldn't be improved","Nothing to improve","Nothing service was really good.",3,"Trust A","Trust A - Q1",173,0.493
"155","cp","Care received","Physical care","My husband was left to fall out of his bed and fracture his hip and pelvis. They have 15 of his named belongings including 2 pairs of new spectacles, 3 front teeth on a plate, hearing aids and even his suitcase he had to use to take them in. Disgusting care.",-4,"Trust A","Trust A - Q1",174,-0.052
"156","mm","Communication","Communication","I think facetime appts would be better than just the phone. Sometimes hard to visualise exercise advice.",-2,"Trust A","Trust A - Q1",175,0.361
"157","cc","Care received","Care received","They need to have doctors visiting patients more than once a week. Give patient what they need and not have to wait for hours.  My husband is not  allowed to get outside for any fresh air. Even with an escort. At least a person in prison would be able to get outside in a yard for exercise. He was told he had to do a fasting blood test, then the following morning nurses escorted him down to breakfast, although my husband told the nurse that he couldn’t, the nurse still made him go down for it. After breakfast they came to do his fasting blood test but could not do it due to eating. My husband is petrified of needles so worried all night for nothing, he has now got to wait until after the weekend for this to be done again so more stress and worry for him. Took his laundry to be washed but machine broke down with his laundry in it!!. This has been in the machine for days now so he has no clean clothes and walking around with no socks on. I live 17 miles away, I have spoken to nurses who have said several times they would make sure he gets them sorted out today; 3 days later still waiting. Anything he asks for like electric razor, that he has there, he asks several times he will eventually get it. When I have to phone the ward how bad is this they are supposed to be working to support his mental health?? They made him sign paper work he did not understand. My husband had been telling everyone he does not like to be called by his full first name, then immediately call him by that when they have been told by myself as well on many occasions. Staff do not listen to what patients or families have to say!! Well I could add lots more about the treatment and respect that patients should get there I would be writing all day. My husband said he feels like he is in prison, how bad does that sound!!!!",-4,"Trust A","Trust A - Q1",176,-0.978
"158","cc","Care received","Care received","Everything!!! I wasn’t listened to at all, passed from person to person and not taken seriously.",-4,"Trust A","Trust A - Q1",177,0.339
"159","aa","Access","General","Carry on a bit longer.",-2,"Trust A","Trust A - Q1",178,0
"160","ce","Care received","Emotional care","Understanding that when you do a certain behaviour is because you aren't thinking straight, and doesn't mean you are that person usually, and that sometimes you need to say something you can't feel you can say over the phone or face to face.",-3,"Trust A","Trust A - Q1",179,0.111
"161","ee","Environment/ facilities","Environment/ facilities","Less noisy at night.",-2,"Trust A","Trust A - Q1",180,-0.105
"162","xn","Couldn't be improved","Nothing to improve","Nothing, have been satisfied with everything.",3,"Trust A","Trust A - Q1",181,-0.325
"163","sa","Staff","Attitude Of Staff","Be professional, kind and supportive. The doctor who dealt with us was none of these things.",-3,"Trust A","Trust A - Q1",182,0.681
"164","mm","Communication","Communication","Liase with nursery.",-2,"Trust A","Trust A - Q1",183,0
"165","xn","Couldn't be improved","Nothing to improve","Nothing could not fault.",3,"Trust A","Trust A - Q1",184,-0.234
"166","xn","Couldn't be improved","Nothing to improve","Cannot think of anything to improve he service as it is so good.",3,"Trust A","Trust A - Q1",185,0.726
"167","xn","Couldn't be improved","Nothing to improve","Everything well.",3,"Trust A","Trust A - Q1",186,0.273
"168","xn","Couldn't be improved","Nothing to improve","very happy",3,"Trust A","Trust A - Q1",187,0.611
"169","xn","Couldn't be improved","Nothing to improve","No",3,"Trust A","Trust A - Q1",188,-0.296
"170","xn","Couldn't be improved","Nothing to improve","You are doing enough",3,"Trust A","Trust A - Q1",189,0
"171","xn","Couldn't be improved","Nothing to improve","Nothing, you have ticked all the boxes for me.",3,"Trust A","Trust A - Q1",190,0.325
"172","xn","Couldn't be improved","Nothing to improve","I cant think of anything really.",3,"Trust A","Trust A - Q1",191,0
"173","xn","Couldn't be improved","Nothing to improve","everything is ok for me I dont have anything to moan about",3,"Trust A","Trust A - Q1",192,0.202
"174","xn","Couldn't be improved","Nothing to improve","No concerns
",3,"Trust A","Trust A - Q1",193,-0.296
"175","xn","Couldn't be improved","Nothing to improve","No",3,"Trust A","Trust A - Q1",194,-0.296
"176","xn","Couldn't be improved","Nothing to improve","Nothing very supportive.",3,"Trust A","Trust A - Q1",195,-0.274
"177","mi","Communication","Amount/clarity of information","Clarification and information on COPD ( I've used the internet to source the information)",-3,"Trust A","Trust A - Q1",196,0
"178","xn","Couldn't be improved","Nothing to improve","n/a",3,"Trust A","Trust A - Q1",197,0
"179","ap","Access","Provision of services","As regards the service in general I feel I should have had an MRI scan or lumber puncture to confirm diagnosis, which I feel is still not definite. I feel I am on death row.",-4,"Trust A","Trust A - Q1",198,-0.692
"180","ti","Transition/coordination","Coordination/Integration Of Care","I wasn't talked to at all. The interaction was something of a misunderstanding as I approached my GP about a different issue that wasn't addressed so I feel like is I got contacted maybe I would have been able to get some better support instead of being told that I cannot get anything other than a change in medication 3 months later.",-4,"Trust A","Trust A - Q1",199,0.677
"181","sl","Staff","Staffing levels","Employ more CPNs at the same standard as Patricia",-1,"Trust A","Trust A - Q1",200,0
"182","ct","Care received","Therapies","I feel that I am not talking enough in therapeutic sessions and am in danger of losing momentum by being too defensive. The nuances of my schizophrenia/depression are undiscussed. Perhaps more regular sessions are necessary",-4,"Trust A","Trust A - Q1",201,-0.71
"183","tc","Transition/coordination","Consistency/Continuity of care","Always seeing different people, continuity would be good.
One nurse turned up having not read my notes so she wasn't as helpful as could have been.
One doctor had no understanding of some of my problems & couldn't get his head round them.",-4,"Trust A","Trust A - Q1",202,-0.516
