"","Source","Stakeholder","Response","assignment","sentiment"
"61","Personalised Care Group Session Responses - End of Life","All","There are good examples of interoperability, e.g. EMIS and System one can integrate health tech solutions into their system but they make it hard, its expensive and takes a long time. This stifles innovation that we need. We need to use the influence of the NHS nationally to change this.","Innovation and scaling for digital solutions (inc funding)",0.625
"62","Personalised Care Group Session Responses - NHS@home","All","The NHS needs some courage and backbone re what the requirements are and regulation for providers. It’s not routine that healthcare apps use the NHS number, whereas it’s been mandated within the NHSApp and in EPR systems that are procured for primary and secondary care.","Data access and interoperability for the frontline",0.772
"63","19th April: Health & Wellbeing Alliance","All","Communication is really important","Personalised care and inclusive service design",0.272
"64","Personalised Care Group Session Responses - NHS@home","All","Enabling digital information software and services to be accessible in a variety of different ways i.e. you can access Netflix via your mobile, your PC, your tablet. Being respectful of patient choice we need to be careful that we don’t design exclusively for digital access and nothing else.","Data access and interoperability for the frontline",0.557
"65","Q3 - 14 April - Social Care Engagement Session","Social Care Workforce","Alongside having access to digital tools in common and information sharing, there is something about achieving common recognition and career pathways, and pay and reward banding structures that can reflect e.g. digital skills framework progression. Much of this goes beyond technology of course. Parity of esteem and pay between NHS and social care likely requires a combination of profound cultural and structural change. There is opportunity to build in research from Cavendish review here.","Digital readiness of the workforce and leadership",0.893
"66","19th April: Health & Wellbeing Alliance","All","Think through PHM and wider determinants of health being more important - wider aspects and more immediate needs","Efficiency, insights and prevention",0.272
"67","Personalised Care Group Session Responses - Industry Feedback","All","Messaging: a standard phase stating that information governance should be an enabler for the digitalisation. Considering that the information governance approach will be different for every indivual.","Citizen data control and trust in data",0
"68","Personalised Care Group Session Responses - C4PC","All","Understanding peoples contact and data preferences, frequency of contact and the confidence and agreement for the sharing of personal health data across multiple systems.","Citizen data control and trust in data",0.852
"69","Personalised Care Group Session Responses - C4PC","All","Personalised data with records condition management and information placed online for patient access in a single portal.","Citizen data control and trust in data",0
"70","Personalised Care Group Session Responses - DHCP PC Internal engagement","All","I have the ability to delegate access to my health digital solutions to enable my family to support my health and care.​","Citizen data control and trust in data",0.836
"71","Personalised Care Group Session Responses - NHS@home","All","There's a big culture shift with health and care professionals trusting the data - heard in a session earlier about not trusting data from other clinicians - so there's a lot of work to do here culture wise.","Citizen data control and trust in data",0.775
"72","Personalised Care Group Session Responses - NHS@home","All","There's a barrier with quality assurance and safety and trusted apps the same way as trusted information so we need a way to be able to safely surface things to people without it taking months/years to do so.....","Citizen data control and trust in data",0.92
"73","Personalised Care Group Session Responses - NHS@home","All","The flipside of more personalised care information is privacy, I think people will be really interested in that, sharing information is one thing, having control of that information is really key to that, I think we should really bring that out in the narrative that we have in personalised care, recognising peoples requirements to privacy.","Citizen data control and trust in data",0.909
"74","Personalised Care Group Session Responses - NHS@home","All","I think there's something around misinformation as well and dealing with that, because there's a lot of more information out there, so whether it's you know the NHS approved oximeters advertised on Amazon, or just health information out there, I think there's something around dealing with that. I think the NHS UK website is potentially really important as a one stop shop for really important information.","Citizen data control and trust in data",0.647
"75","Personalised Care Group Session Responses - NHS@home","All","There are billions of users of Twitter Facebook YouTube across the world we’re used to putting our information in, and we want control of it yes, people are happy to share that sort of information they do it on a daily basis multiple times a day, so I think there is definitely that thing of we want control and what we want to be able to share but we're quite happy to share that information if it then gives up clinician a better view of who we are as a person.","Citizen data control and trust in data",0.965
"76","Personalised Care Group Session Responses - Industry Feedback","All","We need to consider data as two parts – the data patients need to inform how they manage their health and the data the NHS needs to inform how they deliver care","Citizen data control and trust in data",0.494
"77","Personalised Care Group Session Responses - Industry Feedback","All","If the person begins (or is expected to) increase the information input about themselves into their DHCP, and software algorithms are creating insights from it, to suggest treatment intervention, understanding from the patient’s perspective, in communicating to them how, when, by who the data is accessed, how the data is used and who is using it, and kept data security is of paramount importance.","Citizen data control and trust in data",0.813
"78","Personalised Care Group Session Responses - Industry Feedback","All","Standard Information Governance framework template approach","Citizen data control and trust in data",0
"79","Personalised Care Group Session Responses - C4PC","All","Patient records will require open access and a clear format to enable patients to read and understand their own health records.","Citizen data control and trust in data",0.382
"80","6th April: Frontline digital leaders","People & Communities","I will be offered choice and collaboration via my recordd, they will be mine, and providers will access my records rather than me having to access theirs","Citizen data control and trust in data",0
"81","6th April: Frontline digital leaders","People & Communities","There is an understanding of the benefit to use data for research, planning etc and individuals are able to access to data about themselves that they want to see","Citizen data control and trust in data",0.511
"82","6th April: Frontline digital leaders","People & Communities","Patients should have full control over their education(children), health and social care  through a Digital personal health and care  record","Citizen data control and trust in data",0.751
"83","6th April: Frontline digital leaders","People & Communities","More ownership by patient and participant in health and care services","Citizen data control and trust in data",0.494
"84","6th April: Frontline digital leaders","People & Communities","Public has full ownership of how their data is shared","Citizen data control and trust in data",0.34
"85","6th April: Frontline digital leaders","People & Communities","People will take ownership of their health and care - through access to their records and interaction with services via apps","Citizen data control and trust in data",0.494
"86","6th April: Frontline digital leaders","People & Communities","People (NOT PATIENTS) (including parents and children) across health and care will fully own their data and have control as to how it is shared","Citizen data control and trust in data",0.681
"87","6th April: Frontline digital leaders","Health & Care Workforce","Single sign on linked to the NHS Identity service or it's next iteration to ensure when oyu access a system, you have access to the digital services you need and are restricted from those you don't need access to.","Citizen data control and trust in data",0
"88","6th April: Frontline digital leaders","Health & Care Workforce","NHS Login should be mandated as a minimum for patient facing soltutions","Citizen data control and trust in data",0
"89","6th April: Frontline digital leaders","People & Communities","3)  We need to improve citizen appreciation of digital - bigger than just digital availability","Citizen data control and trust in data",0.735
"90","6th April: Frontline digital leaders","People & Communities","3) NHS App updated to allow sharing preferences of data","Citizen data control and trust in data",0.572
"91","6th April: National stakeholders","People & Communities","People have access and control over their health and care information (shared care record)","Citizen data control and trust in data",0.832
"92","6th April: National stakeholders","People & Communities","Patients can easily access care records - eg, rather than referral letters","Citizen data control and trust in data",0.681
"93","7th April: Frontline other (Workshop 1)","All","Provide a single access point  for citizens accessible through all communications channels - not just smart phone ","Citizen data control and trust in data",-0.309
"94","7th April: Frontline other (Workshop 1)","All","The patient or citizen is the connecting point (rather than systems connect together) and they choose how it is connected and where it flows","Citizen data control and trust in data",0
"95","13th April: Frontline other","All","2)Citizen led/greater feeling of ownership","Citizen data control and trust in data",0.128
"96","13th April: Frontline other","All","trust in others data","Citizen data control and trust in data",0.511
"97","13th April: Frontline other","All","A defined role for the citizen. Clear rules around data ownership. Allow people to control their data","Citizen data control and trust in data",0.542
"98","13th April: Frontline other","All","Trust of data within the system and across sector (h&s dont trust data secondary care staff collect)","Citizen data control and trust in data",0.586
"99","13th April: Frontline digital leaders","All","3) Patients will be able to access and own their data, clinicians asking to access their data ","Citizen data control and trust in data",0
"100","13th April: Frontline digital leaders","All","Focus more on the patient in terms of ownership ","Citizen data control and trust in data",0
"101","13th April: Frontline digital leaders","All","make every contact count and update single care record / EPR with service user preferences.","Citizen data control and trust in data",0.494
"102","13th April: Frontline digital leaders","All","patient Event tracking","Citizen data control and trust in data",0
"103","13th April: Frontline digital leaders","All","Clear instruction for trusts on how to switch engaged digital staff to development - i.e. recommend 50:50 roles etc","Citizen data control and trust in data",0.872
"104","13th April: Frontline digital leaders","All","start apply comment sense to what information is collected.  design systems so they consider the patient.","Citizen data control and trust in data",0
"105","13th April: Frontline digital leaders","All","removed bureaucracy regarding the sharing of data and records between organisations and with patients","Citizen data control and trust in data",0.421
"106","13th April: Frontline digital leaders","All","Confidence by public in use of digital solutions","Citizen data control and trust in data",0.612
"107","13th April: Frontline digital leaders","All","2) Map of digital teams which should be within each trust - lots of trusts have different roles and amount of staff","Citizen data control and trust in data",0.751
"108","13th April: Frontline digital leaders","All","Sharing of data across multiple platforms smoothly","Citizen data control and trust in data",0.421
"109","13th April: Frontline digital leaders","All","2) Care specific circle of care enabling access","Citizen data control and trust in data",0.751
"110","13th April: Frontline digital leaders","All","2) Seemles and real time updating and sharing of patient information across all services","Citizen data control and trust in data",0.421
"111","14th April: National Stakeholders","People & Communities","3) People should feel enfranchised by digital (not excluded or coerced): digital should give people more choices and opportunities to engage meaningfully in their care","Citizen data control and trust in data",0.891
"112","14th April: National Stakeholders","People & Communities","2) People should feel safe: Their privacy is protected and they are not asked to disclose information or record information that they are not comfortable with (in digital format)","Citizen data control and trust in data",0.476
"113","14th April: National Stakeholders","People & Communities","it could provide more transparency about who can access their data and what value is returning to the H&SC sector","Citizen data control and trust in data",0.34
"114","14th April: National Stakeholders","People & Communities","Data feedback to the patient / public - how it benefits them; where it is going; how it is used","Citizen data control and trust in data",0.382
"115","14th April: National Stakeholders","NHS Workforce","People are confident that digital services are as good as f2f care","Citizen data control and trust in data",0.852
"116","19th April: Confed MH Providers","All","Patients should be able to see and contribute to their own care records too - this would feel a much more collaborative and sustainable way of delivering healthcare that works for citizens","Citizen data control and trust in data",0.494
"117","19th April: techUK session","All","1) Shared care records on apps and held by the patient. as well as all health and care providers.  Up to date on all contacts and diagnostics. Seamless care for patients","Citizen data control and trust in data",0.92
"118","19th April: techUK session","All","One full accessible system for all including citizens and carers","Citizen data control and trust in data",0
"119","19th April: techUK session","All","Patients should be able to view their records across H&SC, and inform how they are cared for","Citizen data control and trust in data",0.421
"120","19th April: techUK session","All","Citizens should be granted greater control and ownership of their care and their data ","Citizen data control and trust in data",0.772
"121","19th April: techUK session","All","1) Patient records should be accessible by different providers","Citizen data control and trust in data",0
"122","19th April: techUK session","All","2) Patients should be able to access their own records","Citizen data control and trust in data",0
"123","19th April: techUK session","All","Giving individuals better access to their health care records, building on the success of the NHS Covid App & NHS App","Citizen data control and trust in data",0.904
"124","19th April: techUK session","All","Users have increased control over their health and care","Citizen data control and trust in data",0.649
"125","19th April: techUK session","All","Users are consumers and gatekeepers for their health and care.","Citizen data control and trust in data",0.494
"126","19th April: techUK session","All","1) policy around data-sharing between health and care providers and patients and their representatives","Citizen data control and trust in data",0.494
"127","19th April: techUK session","All","striking the balance between control/autonomy and alienation","Citizen data control and trust in data",-0.273
"128","19th April: techUK session","All","Cultural and policy change of record ownership. Also digital solutions to enable citizens to manage their records and health","Citizen data control and trust in data",0.178
"129","19th April: techUK session","All","1) Citizens need to have access to a PHR, through the NHS App as the front door or otherwise, so citizens can access their health and care data and be informed and empowered to self-care, become the active role in their health. ","Citizen data control and trust in data",0.71
"130","19th April: techUK session","All","3) Remote access to records (clinician apps). Patient held records (NHS app, etc)","Citizen data control and trust in data",0
"131","Q1 - 31 March - Social Care Engagement Session","Social Care Workforce","We focus a lot on the benefits of the NHS as these are easier to quantify - want this work to not just be person-centred but be person-led, by empowering people to take control of their own data and facilitate this at a system level, rather than a paternalistic approach.","Citizen data control and trust in data",0.431
"132","Q1 - 31 March - Social Care Engagement Session","Social Care Workforce","There is a difference between personalisation of care and the use of people’s personal information - it’s important people can take ownership of that data. We will always be passive to services, often life long dependence on it until we are given back ownership of our health and wellbeing and digital solutions to help us manage them, individually and as a community - both family and voluntary groups, rather than being in control by the NHS system. Ask people whether they want their data shared.","Citizen data control and trust in data",0.898
"133","Q2 - 7 April - Social Care Engagement Session","Social Care Workforce","There is still a mistrust of organisations and institutions and how they hold our data - there needs to be communication about what this actually means. Communicating more generally should start now - but not just digitally, but face-to-face and through trusted sources.","Citizen data control and trust in data",0.631
"134","All External workshop form responses","All","More connected, better, richer information, easier access at times that suit patients","Citizen data control and trust in data",0.864
"135","All External workshop form responses","All","Less remote, greater control for citizens","Citizen data control and trust in data",0.301
"136","All External workshop form responses","All","From PRSB's perspective our view is that people should have access to their care records via the NHS App (preferably) which will be critical for delivering more person-centred care and activating people to be more involved in their care/self-manage their care.","Citizen data control and trust in data",0.821
"137","All External workshop form responses","All","#NAME?","Citizen data control and trust in data",0
"138","All External workshop form responses","All","Patients will have access to, and be able to contribute to their own care record","Citizen data control and trust in data",0.494
"139","All External workshop form responses","All","Data agreement with the public. Data Scientists, business analysts, tech that everyone can use to access the data. Sharing across all services, public, private, voluntary, the citizen, Researchers.","Citizen data control and trust in data",0.718
"140","26th April- People & Communities","All","Data belongs to patients not to the NHS. If you spot something incorrect, should be able to notify people. Should be capacity to make sure that health information is correct and up to date. Patient should be priority and need to be listen to.","Citizen data control and trust in data",0.318
"141","26th April- People & Communities","All","Need PHRs for everyone and for people to know they can access them (e.g. suitably marketed and communicated to people)","Citizen data control and trust in data",0
"142","26th April- People & Communities","All","Everyone needs access to their health and care information and to own the data and be able to control access to it.","Citizen data control and trust in data",0.494
"143","26th April- People & Communities","All","It must be remembered that the data belongs to the patient not the NHS so patients must be able to access it not jump through the hoops they have to currently.","Citizen data control and trust in data",0
"144","26th April- People & Communities","All","I can't book appointment through the NHS App, which I think is very frustrating as my health data is being saved everywhere which I don't want. The problem is the the NHS can't mandate the NHS App yet ICS's will choose who they want to contract with. I want to understand what the answer is on this?","Citizen data control and trust in data",0.306
"145","All DHCP mailbox comments","All","ensuring quality data is collected/accessible via utilised systems,  I believe this can only be achieved by a blend of promotion and mandate","Citizen data control and trust in data",0.273
"146","All DHCP mailbox comments","All","no way for me to check that the data had reached my hospital records in London","Citizen data control and trust in data",-0.202
"147","All DHCP mailbox comments","All","I do have concerns about such databases and their misuse by hackers.","Citizen data control and trust in data",0
"148","6th April: Frontline digital leaders","People & Communities","No more gaps in my care record, and access to all my health and care information","Data access and interoperability for the frontline",0.637
"149","6th April: Frontline digital leaders","People & Communities","#NAME?","Data access and interoperability for the frontline",0
"150","6th April: Frontline digital leaders","People & Communities","Enhanced Shared Care Records (ICS)","Data access and interoperability for the frontline",0.681
"151","6th April: Frontline digital leaders","People & Communities","People will encounter services who appear to already know them, what their past is, what their preferences and plans are etc","Data access and interoperability for the frontline",0
"152","6th April: Frontline digital leaders","People & Communities","Single patient portal - NHS App for all healthcare management","Data access and interoperability for the frontline",0
"153","6th April: Frontline digital leaders","People & Communities","All of my medical history is in one place, accessed by all relevant health care workers","Data access and interoperability for the frontline",0.494
"154","6th April: Frontline digital leaders","People & Communities","I only need to tell my story once","Data access and interoperability for the frontline",0
"155","6th April: Frontline digital leaders","People & Communities","Assuming we will not be as far forward as we would wish to be, nonetheless we will have the ability to flow data across more services, particularly across a range of providers inc third sector, have greater acess to real time data; hopefully the ability for people to tell their story once,  improved reporting, analysis and insights , better pop planning etc ","Data access and interoperability for the frontline",0.948
"156","6th April: Frontline digital leaders","People & Communities","More system agreed principles and standards for integration/ interoperability/ architecture etc ","Data access and interoperability for the frontline",0.335
"157","6th April: Frontline digital leaders","People & Communities","we will have one front door that manages the online access to services with a modular approach in the background for local system configuration","Data access and interoperability for the frontline",0
"158","6th April: Frontline digital leaders","People & Communities","No more 'step through' i.e primary care to community to acute...takes too long digital could co-ordinate all fo this","Data access and interoperability for the frontline",0.25
"159","6th April: Frontline digital leaders","People & Communities","Totally seamless, informed discharge","Data access and interoperability for the frontline",0
"160","6th April: Frontline digital leaders","People & Communities","All of the staff involved in my care have full access to all my records","Data access and interoperability for the frontline",0.494
"161","6th April: Frontline digital leaders","People & Communities","Healthcare staff truly integrate and trust data available to them irrespective of source ","Data access and interoperability for the frontline",0.735
"162","6th April: Frontline digital leaders","People & Communities","Joined up systems leading to more efficient scheduling, choice and reduction in duplication / repeating of information for patients leading to more assurance and confidence that health and care have the right information to improve outcomes","Data access and interoperability for the frontline",0.938
"163","6th April: Frontline digital leaders","People & Communities","Patients do not feel like they need to repeat their 'story' multiple times ","Data access and interoperability for the frontline",-0.276
"164","6th April: Frontline digital leaders","People & Communities","Patient data transfer across boundaries is seamless and invisble to patients > leveraging experience from other industries ","Data access and interoperability for the frontline",0
"165","6th April: Frontline digital leaders","People & Communities","Care settings will use shared records to work closely together in joined-up workflows - which will be visible to service users","Data access and interoperability for the frontline",0.681
"166","6th April: Frontline digital leaders","People & Communities","People will not have to worry about organisation boundaries, can tell their story as few times as possible, where they feel comfortable doing so and have confidence they will receive the care and support they need. (Terence Hudson - aka Squidl)","Data access and interoperability for the frontline",0.935
"167","6th April: Frontline digital leaders","People & Communities","Digital first access to care - for those patients who want it. And linked records for patients so that the same information isn't collected by all parts of the health system. ","Data access and interoperability for the frontline",0.542
"168","6th April: Frontline digital leaders","Health & Care Workforce","Access to right information and data ","Data access and interoperability for the frontline",0
"169","6th April: Frontline digital leaders","Health & Care Workforce","Staff have one login that works across all the systems they need to access to deliver care  regardless of the organisation hosting the system","Data access and interoperability for the frontline",0.494
